Id,Rainfall,Temperature,Humidity,Water,Day_Name,Timestamp,Mean
0,639,31,13,1144,Sat,9/21/2021,805
1,955,25,11,1082,Sun,9/20/2021,807
2,847,30,22,969,Mon,9/19/2021,805
3,1232,19,18,614,Tue,9/18/2021,800
4,737,33,19,990,Wed,9/17/2021,807
5,582,33,16,918,Thu,9/16/2021,793
6,761,34,16,937,Fri,9/15/2021,798
7,1302,20,11,797,Sat,9/14/2021,794
8,1445,21,20,686,Sun,9/13/2021,797
9,1243,20,24,495,Mon,9/12/2021,808
10,735,25,12,945,Tue,9/11/2021,808
11,1478,20,12,538,Wed,9/10/2021,795
12,724,25,25,903,Thu,9/9/2021,803
13,771,25,11,1010,Fri,9/8/2021,792
14,1139,23,12,754,Sat,9/7/2021,810
15,703,31,24,1134,Sun,9/6/2021,805
16,948,34,15,1005,Mon,9/5/2021,798
17,1470,19,12,550,Tue,9/4/2021,797
18,1133,23,17,593,Wed,9/3/2021,796
19,635,26,13,958,Thu,9/2/2021,803
20,1028,21,10,546,Fri,9/1/2021,797
21,1380,22,15,695,Sat,8/31/2021,798
22,512,33,24,1045,Sun,8/30/2021,791
23,832,30,25,952,Mon,8/29/2021,792
24,1265,20,21,488,Tue,8/28/2021,803
25,1310,20,11,608,Wed,8/27/2021,798
26,1278,21,22,556,Thu,8/26/2021,799
27,1139,22,10,582,Fri,8/25/2021,799
28,1294,19,12,693,Sat,8/24/2021,806
29,978,29,25,1105,Sun,8/23/2021,807
30,530,32,19,968,Mon,8/22/2021,803
31,1312,19,13,589,Tue,8/21/2021,796
32,1174,22,19,607,Wed,8/20/2021,797
33,596,33,18,996,Thu,8/19/2021,792
34,970,34,21,884,Fri,8/18/2021,809
35,875,32,12,1070,Sat,8/17/2021,793
36,1347,23,10,722,Sun,8/16/2021,790
37,760,28,21,906,Mon,8/15/2021,796
38,1132,22,22,499,Tue,8/14/2021,808
39,1037,20,21,528,Wed,8/13/2021,809
40,751,32,10,939,Thu,8/12/2021,790
41,1207,23,24,525,Fri,8/11/2021,810
42,1094,19,19,786,Sat,8/10/2021,791
43,1149,23,14,747,Sun,8/9/2021,792
44,1498,19,13,551,Mon,8/8/2021,803
45,1231,21,11,579,Tue,8/7/2021,808
46,579,29,18,1010,Wed,8/6/2021,807
47,760,28,15,961,Thu,8/5/2021,799
48,533,32,24,912,Fri,8/4/2021,806
49,1267,23,23,678,Sat,8/3/2021,800
50,1063,21,18,698,Sun,8/2/2021,798
51,742,26,19,1008,Mon,8/1/2021,804
52,901,30,16,939,Tue,7/31/2021,809
53,1195,20,19,535,Wed,7/30/2021,802
54,692,25,13,1011,Thu,7/29/2021,804
55,1129,23,22,563,Fri,7/28/2021,808
56,1287,19,22,685,Sat,7/27/2021,791
57,780,32,24,1057,Sun,7/26/2021,805
58,1005,23,17,546,Mon,7/25/2021,807
59,936,33,18,995,Tue,7/24/2021,790
60,1270,23,11,515,Wed,7/23/2021,799
61,1428,19,13,574,Thu,7/22/2021,790
62,1309,21,20,562,Fri,7/21/2021,794
63,1103,20,25,676,Sat,7/20/2021,802
64,889,30,16,1108,Sun,7/19/2021,800
